A,B,C,D,E,Target
3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,3.882026172983832,2.5596267970979794
3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,3.2000786041836116,5.924738873315302
3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,3.4893689920528694,-7.223148241252707
4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,4.120446599600729,-1.9528597056671568
3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,3.9337789950749835,-0.719466748759328
2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,2.5113610600617946,-0.9852005329556714
3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,3.4750442087627946,2.407735853003902
2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,2.924321395851151,-21.180776303835696
2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,2.9483905741032213,-3.493240701475726
3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,3.205299250969186,-0.6096639875323508
3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,3.072021785580439,-13.003303489537053
3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,3.7271367534814877,13.7398570701071
3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,3.3805188625734965,-1.3844073276183204
3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,3.060837508246414,12.634047450289295
3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,3.221931616372713,-10.905230218330772
3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,3.1668371636871333,-12.07300121525327
3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,3.747039536578803,-0.7574777903431809
2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,2.8974208681170994,-19.786883628286567
3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,3.1565338508254506,-0.8503440937390647
2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,2.5729521303491376,-2.02780767997082
1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,1.7235050920829607,7.156652815421012
3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,3.3268092977201804,4.010413411650971
3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,3.432218099429753,-7.17477349885034
2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,2.628917489796779,-13.974966547702447
4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,4.134877311993804,14.123052213432967
